Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19740403.39.9,Summary,4/3/74,16:18:00,CST,Ohio,-,-,1,0,7,10,1,Pickaway,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,39.6,-83,-,-,1,9,157,Unmodified
19740403.47.13,Summary,4/3/74,16:18:00,CST,Tennessee,-,-,2,0,0,400,4,Davidson,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,36.13,-86.73,36.15,-86.65,1,13,158,Unmodified
19740403.1.15,Summary,4/3/74,16:21:00,CST,Alabama,-,-,1,0,0,800,1,Calhoun,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.87,-85.83,-,-,1,15,159,Unmodified
19740403.47.14,Summary,4/3/74,16:30:00,CST,Tennessee,-,-,1,0,0,100,7,Maury,Marshall,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.6,-86.93,35.67,-86.82,1,14,160,Unmodified
19740403.13.13,Summary,4/3/74,16:40:00,CST,Georgia,-,-,4,9,67,200,29,Gordon,Whitfield,Murray,-,-,-,-,-,-,-,-,-,$500K-$5M,,34.5,-85.05,34.8,-84.7,1,13,161,Unmodified
19740403.21.13,Summary,4/3/74,16:40:00,CST,Kentucky,-,-,4,0,56,10,20,Green,Taylor,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,37.22,-85.47,37.38,-85.17,1,13,162,Unmodified
19740403.21.14,Summary,4/3/74,16:50:00,CST,Kentucky,-,-,4,4,122,10,79,Anderson,Franklin,Scott,-,-,-,-,-,-,-,-,-,$50K-$500K,,38.05,-85.07,38.38,-84.53,1,14,163,Unmodified
19740403.1.17,Summary,4/3/74,16:50:00,CST,Alabama,Georgia,-,2,1,20,150,65,Cleburne,Cherokee,Haralson,Paulding,Cobb,Bartow,-,-,-,-,-,-,$500K-$5M,,33.55,-85.47,34.17,-84.63,2,17,164,Unmodified
19740403.1.17,State,4/3/74,16:50:00,CST,Alabama,,,2,0,0,150,10,Cleburne,-,-,-,Cherokee,-,-,-,-,-,-,-,-,,33.55,-85.47,33.67,-85.35,2,17,164,Unmodified
19740403.1.17,State,4/3/74,17:10:00,CST,Georgia,,,2,1,20,150,55,Haralson,Paulding,Cobb,Bartow,Cherokee,-,-,-,-,-,-,-,$500K-$5M,,33.67,-85.35,34.17,-84.63,2,12,164,Unmodified
19740403.47.15,Summary,4/3/74,17:00:00,CST,Tennessee,-,-,2,0,0,300,15,Wilson,Trousdale,Smith,-,-,-,-,-,-,-,-,-,$500K-$5M,,36.27,-86.2,36.4,-85.97,1,15,165,Unmodified
19740403.47.16,Summary,4/3/74,17:00:00,CST,Tennessee,-,-,1,0,4,200,12,Marshall,Bedford,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.53,-86.77,35.67,-86.6,1,16,166,Unmodified
19740403.47.17,Summary,4/3/74,17:10:00,CST,Tennessee,-,-,3,0,0,100,15,Rutherford,Wilson,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.83,-86.43,35.98,-86.22,1,17,167,Unmodified
19740403.1.18,Summary,4/3/74,17:15:00,CST,Alabama,-,-,5,28,267,500,52,Lawrence,Morgan,Limestone,Madison,-,-,-,-,-,-,-,-,-,,34.47,-87.48,34.83,-86.7,1,18,168,Unmodified
19740403.47.18,Summary,4/3/74,17:15:00,CST,Tennessee,-,-,1,0,0,200,26,Marshall,Bedford,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.45,-86.85,35.62,-86.43,1,18,169,Unmodified
19740403.39.10,Summary,4/3/74,17:30:00,CST,Ohio,-,-,2,0,0,350,9,Paulding,Putnam,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,41.03,-84.4,41.12,-84.25,1,10,170,Unmodified
19740403.1.19,Summary,4/3/74,17:30:00,CST,Alabama,-,-,2,0,4,350,12,Franklin,-,-,-,-,-,-,-,-,-,-,-,-,,34.33,-87.73,34.42,-87.53,1,19,171,Unmodified
19740403.21.15,Summary,4/3/74,17:35:00,CST,Kentucky,-,-,3,1,98,10,21,Casey,Lincoln,Boyle,-,-,-,-,-,-,-,-,-,$500K-$5M,,37.43,-84.92,37.7,-84.72,1,15,172,Unmodified
19740403.18.17,Summary,4/3/74,17:35:00,CST,Indiana,-,-,1,0,0,90,7,Wabash,Huntington,-,-,-,-,-,-,-,-,-,-,-,,40.97,-85.73,41.03,-85.62,1,17,173,Unmodified
19740403.1.20,Summary,4/3/74,17:35:00,CST,Alabama,-,-,4,3,178,500,110,Pickens,Tuscaloosa,Fayette,Walker,-,-,-,-,-,-,-,-,$5M-$50M,,33.27,-88.2,34.27,-86.7,1,20,174,Unmodified
19740403.21.16,Summary,4/3/74,17:40:00,CST,Kentucky,-,-,4,10,113,10,38,Cumberland,Clinton,Wayne,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.65,-85.37,36.93,-84.77,1,16,175,Unmodified
19740403.18.18,Summary,4/3/74,17:45:00,CST,Indiana,-,-,2,0,12,350,19,Howard,Grant,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,40.38,-85.97,40.57,-85.68,1,18,176,Unmodified
19740403.18.19,Summary,4/3/74,17:50:00,CST,Indiana,-,-,3,5,53,1000,36,Noble,LaGrange,Steuben,-,-,-,-,-,-,-,-,-,$5M-$50M,,41.42,-85.47,41.73,-84.88,1,19,177,Unmodified
19740403.21.17,Summary,4/3/74,17:55:00,CST,Kentucky,-,-,3,0,27,10,19,Harrison,Robertson,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,38.33,-84.43,38.52,-84.15,1,17,178,Unmodified
19740403.18.20,Summary,4/3/74,17:55:00,CST,Indiana,-,-,1,0,5,350,8,LaGrange,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,41.58,-85.38,41.68,-85.27,1,20,179,Unmodified
19740403.39.11,Summary,4/3/74,18:00:00,CST,Ohio,-,-,3,1,0,500,15,Adams,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,38.82,-83.6,38.95,-83.37,1,11,180,Unmodified
19740403.39.12,Summary,4/3/74,18:00:00,CST,Ohio,-,-,1,0,0,180,9,Adams,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,38.67,-83.75,38.73,-83.6,1,12,181,Unmodified
19740403.1.16,Summary,4/3/74,18:00:00,CST,Alabama,-,-,3,0,9,100,20,Cherokee,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.05,-85.82,34.2,-85.5,1,16,182,Unmodified
19740403.37.6,Summary,4/3/74,18:05:00,CST,North Carolina,-,-,2,2,11,10,24,Graham,Swain,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.27,-83.98,35.38,-83.58,1,6,183,Unmodified
19740403.21.18,Summary,4/3/74,18:05:00,CST,Kentucky,-,-,3,0,5,10,18,Wayne,Pulaski,-,-,-,-,-,-,-,-,-,-,$5M-$50M,,36.85,-84.97,37,-84.7,1,18,184,Unmodified
19740403.18.21,Summary,4/3/74,18:10:00,CST,Indiana,-,-,2,0,0,350,11,Huntington,Wells,-,-,-,-,-,-,-,-,-,-,-,,40.67,-85.5,40.78,-85.33,1,21,185,Unmodified
19740403.21.19,Summary,4/3/74,18:12:00,CST,Kentucky,-,-,2,0,10,10,16,Boyle,Mercer,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,37.68,-84.93,37.85,-84.73,1,19,186,Unmodified
19740403.47.19,Summary,4/3/74,18:15:00,CST,Tennessee,Kentucky,-,2,0,11,400,27,McCreary,Fentress,Pickett,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.52,-84.87,36.8,-84.52,2,19,187,Unmodified
19740403.47.19,State,4/3/74,18:15:00,CST,Tennessee,,,2,0,0,400,7,Fentress,Pickett,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.52,-84.87,36.6,-84.77,2,19,187,Unmodified
19740403.47.19,State,4/3/74,19:20:00,CST,Kentucky,,,2,0,11,10,19,McCreary,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.6,-84.77,36.8,-84.52,2,25,187,Unmodified
19740403.18.22,Summary,4/3/74,18:15:00,CST,Indiana,-,-,2,0,0,177,14,Wells,Adams,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,40.73,-85.25,40.83,-85,1,22,188,Unmodified
19740403.21.20,Summary,4/3/74,18:20:00,CST,Kentucky,-,-,4,7,28,10,31,Garrard,Madison,Clark,-,-,-,-,-,-,-,-,-,-,,37.72,-84.5,38.03,-84.07,1,20,189,Unmodified
19740403.26.3,Summary,4/3/74,18:30:00,CST,Michigan,-,-,2,0,0,30,2,Monroe,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,42.03,-83.25,-,-,1,3,190,Unmodified
19740403.13.14,Summary,4/3/74,18:30:00,CST,Georgia,-,-,4,6,30,200,17,Pickens,Dawson,Lumpkin,-,-,-,-,-,-,-,-,-,$500K-$5M,,34.37,-84.33,34.53,-84.12,1,14,191,Unmodified
19740403.47.20,Summary,4/3/74,18:30:00,CST,Tennessee,-,-,1,0,0,200,4,Overton,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.38,-85.33,36.42,-85.27,1,20,192,Unmodified
19740403.21.21,Summary,4/3/74,18:30:00,CST,Kentucky,-,-,2,0,0,10,4,Madison,Fayette,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,37.83,-84.43,37.88,-84.37,1,21,193,Unmodified
19740403.47.21,Summary,4/3/74,18:30:00,CST,Tennessee,-,-,3,1,23,100,14,Cannon,DeKalb,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.92,-86.05,36.05,-85.85,1,21,194,Unmodified
19740403.1.21,Summary,4/3/74,18:35:00,CST,Alabama,Tennessee,-,5,16,190,500,83,Limestone,Madison,Lincoln,Franklin,-,-,-,-,-,-,-,-,-,,34.7,-87.05,35.5,-86,2,21,195,Unmodified
19740403.1.21,State,4/3/74,18:35:00,CST,Alabama,,,5,16,190,500,40,Limestone,Madison,-,-,-,-,-,-,-,-,-,-,-,,34.7,-87.05,35,-86.43,2,21,195,Unmodified
19740403.1.21,State,4/3/74,19:14:00,CST,Tennessee,,,4,0,0,500,42,Lincoln,Franklin,-,-,-,-,-,-,-,-,-,-,-,,35,-86.43,35.5,-86,2,24,195,Unmodified
19740403.26.4,Summary,4/3/74,18:44:00,CST,Michigan,-,-,2,2,31,440,19,Hillsdale,Jackson,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,41.92,-84.65,42.12,-84.37,1,4,196,Unmodified
19740403.39.13,Summary,4/3/74,18:45:00,CST,Ohio,-,-,3,0,1,177,8,Paulding,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,41.05,-84.45,41.17,-84.37,1,13,197,Unmodified
19740403.47.22,Summary,4/3/74,18:45:00,CST,Tennessee,-,-,4,11,121,800,27,Lincoln,Franklin,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,35,-86.5,35.32,-86.08,1,22,198,Unmodified
19740403.21.22,Summary,4/3/74,18:55:00,CST,Kentucky,-,-,3,7,40,10,22,Pulaski,Laurel,Rockcastle,-,-,-,-,-,-,-,-,-,$500K-$5M,,37.03,-84.4,37.3,-84.17,1,22,199,Unmodified
19740403.39.14,Summary,4/3/74,19:00:00,CST,Ohio,-,-,1,0,0,100,1,Paulding,-,-,-,-,-,-,-,-,-,-,-,-,,41.08,-84.47,41.12,-84.43,1,14,200,Unmodified
19740403.39.15,Summary,4/3/74,19:00:00,CST,Ohio,-,-,1,0,0,90,6,Paulding,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,41.08,-84.7,41.13,-84.58,1,15,201,Unmodified
19740403.47.23,Summary,4/3/74,19:00:00,CST,Tennessee,-,-,1,0,0,200,8,Jackson,Overton,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,36.25,-85.6,36.33,-85.48,1,23,202,Unmodified
19740403.21.23,Summary,4/3/74,19:05:00,CST,Kentucky,-,-,3,0,2,10,4,Montgomery,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,37.98,-83.88,38.03,-83.82,1,23,203,Unmodified
19740403.26.5,Summary,4/3/74,19:15:00,CST,Michigan,-,-,2,0,5,10,9,Hillsdale,Lenawee,-,-,-,-,-,-,-,-,-,-,-,,41.72,-84.42,41.83,-84.27,1,5,204,Unmodified
19740403.26.6,Summary,4/3/74,19:15:00,CST,Michigan,-,-,2,0,5,167,5,Hillsdale,Lenawee,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,41.75,-84.42,41.85,-84.37,1,6,205,Unmodified
19740403.21.24,Summary,4/3/74,19:15:00,CST,Kentucky,-,-,2,0,20,10,10,Scott,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,38.23,-84.65,38.3,-84.48,1,24,206,Unmodified
19740403.47.25,Summary,4/3/74,19:15:00,CST,Tennessee,-,-,4,10,51,700,28,White,Putnam,Overton,-,-,-,-,-,-,-,-,-,$500K-$5M,,36.03,-85.57,36.25,-85.13,1,25,207,Unmodified
19740403.13.15,Summary,4/3/74,19:20:00,CST,Georgia,North Carolina,-,4,4,26,400,24,Fannin,Cherokee,-,-,-,-,-,-,-,-,-,-,$5M-$50M,,34.95,-84.3,35.15,-83.95,2,15,208,Unmodified
19740403.13.15,State,4/3/74,19:20:00,CST,Georgia,,,4,0,0,400,5,Fannin,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,34.95,-84.3,34.97,-84.22,2,15,208,Unmodified
19740403.13.15,State,4/3/74,19:25:00,CST,North Carolina,,,4,4,26,10,18,Cherokee,-,-,-,-,-,-,-,-,-,-,-,$5M-$50M,,34.97,-84.22,35.15,-83.95,2,7,208,Unmodified
19740403.21.26,Summary,4/3/74,19:25:00,CST,Kentucky,-,-,1,0,0,10,0,Butler,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,38.65,-83.82,-,-,1,26,209,Unmodified
19740403.39.16,Summary,4/3/74,19:30:00,CST,Ohio,-,-,1,0,0,100,4,Brown,-,-,-,-,-,-,-,-,-,-,-,-,,38.67,-83.77,38.72,-83.72,1,16,210,Unmodified
19740403.47.26,Summary,4/3/74,19:30:00,CST,Tennessee,Kentucky,-,4,5,6,300,11,Wayne,Pickett,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,36.52,-85.08,36.63,-84.88,2,26,211,Unmodified
